Papadopoulos,Παπαδόπουλος
Kalaitzakis,Καλαϊτζάκης
Katsikis,Κατσίκης
Lytras,Λύτρας
Xenou,Ξένου
Dede,Δέδε
Papoulias,Παπούλιας
Syrigou,Συρίγου
Lazaris,Λάζαρης
Stavrakis,Σταυράκης
Karagiannakis,Καραγιαννάκης
Patsis,Πάτσης
Platis,Πλατής
Tolias,Τόλιας
Masouras,Μασούρας
Siskos,Σίσκος
Aronis,Αρώνης
Stathi,Στάθη
Evangelopoulos,Ευαγγελόπουλος
Anastakis,Αναστάκης
Kalogiros,Καλογήρος
Manta,Μαντά
Christoforou,Χριστοφόρου
Filippopoulos,Φιλιππόπουλος
Theodosiadis,Θεοδοσιάδης
Papasotiriou,Παπασωτηρίου
Gakis,Γάκης
Kotsi,Κότση
Kokkinakis,Κοκκινάκης
Karagiorgos,Καραγιώργος
Diamantidis,Διαμαντίδης
Savvopoulos,Σαββόπουλος
Chioti,Χιώτη
Stratakis,Στρατάκης
Tsatsos,Τσάτσος
Athanasakis,Αθανασάκης
Kokkali,Κόκκαλη
Koutra,Κούτρα
Gkionis,Γκιώνης
Konstantinopoulos,Κωνσταντινόπουλος
Spyridis,Σπυρίδης
Panteli,Παντελή
Gioti,Γιώτη
Papapetrou,Παπαπέτρου
Valavanis,Βαλαβάνης
Triantafyllos,Τριαντάφυλλος
Kouri,Κουρή
Pantazopoulou,Πανταζοπούλου
Mouzakitis,Μουζακίτης
Tatsi,Τάτση
Kolios,Κολιός
Paraschou,Παράσχου
Psarros,Ψάρρος
Bakogiannis,Μπακογιάννης
Arapoglou,Αράπογλου
Thanopoulos,Θανόπουλος
Andriotis,Ανδριώτης
Papadimas,Παπαδήμας
Sarantis,Σαράντης
Barmpas,Μπάρμπας
Papagiannopoulou,Παπαγιαννοπούλου
Ziakas,Ζιάκας
Alexandridou,Αλεξανδρίδου
Bekas,Μπέκας
Drivas,Δρίβας
Manolas,Μανωλάς
Stylianou,Στυλιανού
Ilia,Ηλία
Moysiadis,Μωυσιάδης
Tseliou,Τσέλιου
Zachariadou,Ζαχαριάδου
Kalafatis,Καλαφάτης
Mohammad,Μοχάμαντ
Venetis,Βενέτης
Kaloudi,Καλούδη
Karagkouni,Καραγκούνη
Tsiamis,Τσιάμης
Spiliotopoulos,Σπηλιωτόπουλος
Damianidis,Δαμιανίδης
Savvakis,Σαββάκης
Avgeris,Αυγέρης
Tsompanidis,Τσομπανίδης
Filis,Φίλης
Gkioka,Γκιόκα
Tzika,Τζίκα
Kypraiou,Κυπραίου
Prokopiou,Προκοπίου
Bellou,Μπέλλου
Tsakalos,Τσάκαλος
Polychronidis,Πολυχρονίδης
Voulgarakis,Βουλγαράκης
Tzortzi,Τζώρτζη
Papacharalampous,Παπαχαραλάμπους
Akrivos,Ακρίβος
Saridakis,Σαριδάκης
